Area_Name,Year,Group_Name,Sub_Group_Name,Victims_Above_50_Yrs,Victims_Total,Victims_Upto_10_15_Yrs,Victims_Upto_10_Yrs,Victims_Upto_15_18_Yrs,Victims_Upto_18_30_Yrs
Dadra & Nagar Haveli,2009,Murder - Male Victims,1. Male Victims,1,4,NULL,1,NULL,1
Daman & Diu,2009,Murder - Male Victims,1. Male Victims,NULL,4,NULL,NULL,NULL,1
Delhi,2009,Murder - Male Victims,1. Male Victims,23,445,17,17,28,243
Goa,2009,Murder - Male Victims,1. Male Victims,3,26,0,2,0,8
Gujarat,2009,Murder - Male Victims,1. Male Victims,56,734,9,24,4,266
Haryana,2009,Murder - Male Victims,1. Male Victims,83,786,4,2,9,331
Himachal Pradesh,2009,Murder - Male Victims,1. Male Victims,14,94,1,0,2,31
Jammu & Kashmir,2009,Murder - Male Victims,1. Male Victims,10,216,0,1,3,98
Jharkhand,2009,Murder - Male Victims,1. Male Victims,81,1435,1,3,5,609
Karnataka,2009,Murder - Male Victims,1. Male Victims,121,1073,14,12,5,363
Kerala,2009,Murder - Male Victims,1. Male Victims,58,260,7,25,1,60
Madhya Pradesh,2009,Murder - Male Victims,1. Male Victims,257,1777,20,42,25,672
Maharashtra,2009,Murder - Male Victims,1. Male Victims,216,1712,11,63,20,681
Manipur,2009,Murder - Male Victims,1. Male Victims,16,156,1,2,3,56
Meghalaya,2009,Murder - Male Victims,1. Male Victims,7,106,2,0,3,69
Mizoram,2009,Murder - Male Victims,1. Male Victims,NULL,28,NULL,NULL,NULL,8
Nagaland,2009,Murder - Male Victims,1. Male Victims,1,40,0,0,0,21
Odisha,2009,Murder - Male Victims,1. Male Victims,118,806,0,1,8,336
Puducherry,2009,Murder - Male Victims,1. Male Victims,2,29,NULL,NULL,NULL,13
Punjab,2009,Murder - Male Victims,1. Male Victims,42,658,15,18,20,251
Rajasthan,2009,Murder - Male Victims,1. Male Victims,124,1089,16,16,36,424
Sikkim,2009,Murder - Male Victims,1. Male Victims,1,14,NULL,2,NULL,7
Tamil Nadu,2009,Murder - Male Victims,1. Male Victims,246,1270,8,36,5,364
Tripura,2009,Murder - Male Victims,1. Male Victims,7,91,2,6,0,34
Uttar Pradesh,2009,Murder - Male Victims,1. Male Victims,354,3724,89,33,85,1816
Uttarakhand,2009,Murder - Male Victims,1. Male Victims,13,144,1,1,1,72
West Bengal,2009,Murder - Male Victims,1. Male Victims,88,1468,3,3,6,708
Andaman & Nicobar Islands,2010,Murder - Male Victims,1. Male Victims,NULL,5,NULL,NULL,NULL,2
Andhra Pradesh,2010,Murder - Male Victims,1. Male Victims,325,1914,16,7,13,962
Arunachal Pradesh,2010,Murder - Male Victims,1. Male Victims,0,73,0,0,0,53
Assam,2010,Murder - Male Victims,1. Male Victims,46,1137,NULL,NULL,10,712
Bihar,2010,Murder - Male Victims,1. Male Victims,194,2700,30,16,82,1491
Chandigarh,2010,Murder - Male Victims,1. Male Victims,3,20,0,1,0,5
Chhattisgarh,2010,Murder - Male Victims,1. Male Victims,105,708,8,19,31,231
Dadra & Nagar Haveli,2010,Murder - Male Victims,1. Male Victims,NULL,5,NULL,NULL,NULL,NULL
Daman & Diu,2010,Murder - Male Victims,1. Male Victims,0,5,0,0,0,4
Delhi,2010,Murder - Male Victims,1. Male Victims,25,458,8,6,14,238
Goa,2010,Murder - Male Victims,1. Male Victims,2,28,0,0,0,9
Gujarat,2010,Murder - Male Victims,1. Male Victims,89,814,14,27,7,312
Haryana,2010,Murder - Male Victims,1. Male Victims,65,831,6,4,8,367
Himachal Pradesh,2010,Murder - Male Victims,1. Male Victims,17,105,0,2,3,31
Jammu & Kashmir,2010,Murder - Male Victims,1. Male Victims,19,205,0,0,0,91
Jharkhand,2010,Murder - Male Victims,1. Male Victims,65,1496,2,4,1,895
Karnataka,2010,Murder - Male Victims,1. Male Victims,130,1147,3,18,4,481
Kerala,2010,Murder - Male Victims,1. Male Victims,55,279,3,23,1,60
Madhya Pradesh,2010,Murder - Male Victims,1. Male Victims,244,1890,27,34,40,732
Maharashtra,2010,Murder - Male Victims,1. Male Victims,238,1790,18,91,20,670
Manipur,2010,Murder - Male Victims,1. Male Victims,8,82,2,0,0,26
Meghalaya,2010,Murder - Male Victims,1. Male Victims,8,126,0,0,1,64
Mizoram,2010,Murder - Male Victims,1. Male Victims,8,40,0,0,1,8
Nagaland,2010,Murder - Male Victims,1. Male Victims,7,42,0,0,0,19
Odisha,2010,Murder - Male Victims,1. Male Victims,72,783,0,5,1,304
Puducherry,2010,Murder - Male Victims,1. Male Victims,8,30,NULL,NULL,NULL,10
Punjab,2010,Murder - Male Victims,1. Male Victims,65,703,3,10,12,277
Rajasthan,2010,Murder - Male Victims,1. Male Victims,103,1115,14,15,33,437
Sikkim,2010,Murder - Male Victims,1. Male Victims,3,9,NULL,1,NULL,1
Tamil Nadu,2010,Murder - Male Victims,1. Male Victims,227,1279,8,25,7,414
Tripura,2010,Murder - Male Victims,1. Male Victims,16,96,1,0,0,36
Uttar Pradesh,2010,Murder - Male Victims,1. Male Victims,288,3597,52,76,79,1937
Uttarakhand,2010,Murder - Male Victims,1. Male Victims,13,132,1,NULL,NULL,66
West Bengal,2010,Murder - Male Victims,1. Male Victims,84,1522,5,0,4,635
Andaman & Nicobar Islands,2001,Murder - Total Victims,3. Total,NULL,13,1,NULL,NULL,7
Andhra Pradesh,2001,Murder - Total Victims,3. Total,282,2783,74,73,131,1096
Arunachal Pradesh,2001,Murder - Total Victims,3. Total,6,83,0,0,0,41
Assam,2001,Murder - Total Victims,3. Total,78,1356,38,21,192,622
Bihar,2001,Murder - Total Victims,3. Total,239,3643,2,2,196,1675
Chandigarh,2001,Murder - Total Victims,3. Total,4,15,0,0,0,5
Chhattisgarh,2001,Murder - Total Victims,3. Total,205,1657,26,68,68,555
Dadra & Nagar Haveli,2001,Murder - Total Victims,3. Total,NULL,3,NULL,NULL,NULL,1
Delhi,2001,Murder - Total Victims,3. Total,42,574,12,25,21,305
Goa,2001,Murder - Total Victims,3. Total,3,37,NULL,1,NULL,15
Gujarat,2001,Murder - Total Victims,3. Total,113,1280,20,107,26,467
Haryana,2001,Murder - Total Victims,3. Total,44,818,12,36,62,358
Himachal Pradesh,2001,Murder - Total Victims,3. Total,14,122,1,4,2,40
Jammu & Kashmir,2001,Murder - Total Victims,3. Total,191,1412,50,10,187,453
Jharkhand,2001,Murder - Total Victims,3. Total,160,1507,3,4,160,596
Karnataka,2001,Murder - Total Victims,3. Total,181,1678,22,80,60,700
Kerala,2001,Murder - Total Victims,3. Total,79,489,13,63,17,113
Lakshadweep,2001,Murder - Total Victims,3. Total,0,2,1,1,0,0
Madhya Pradesh,2001,Murder - Total Victims,3. Total,101,2425,38,73,166,974
Maharashtra,2001,Murder - Total Victims,3. Total,297,2950,56,189,80,1295
Manipur,2001,Murder - Total Victims,3. Total,11,233,NULL,2,8,139
Meghalaya,2001,Murder - Total Victims,3. Total,1,169,0,0,0,116
Mizoram,2001,Murder - Total Victims,3. Total,2,31,0,0,3,17
Nagaland,2001,Murder - Total Victims,3. Total,3,109,1,0,5,64
Odisha,2001,Murder - Total Victims,3. Total,72,1005,2,0,56,490
Puducherry,2001,Murder - Total Victims,3. Total,3,25,NULL,NULL,1,10
Punjab,2001,Murder - Total Victims,3. Total,54,787,10,10,56,358
Rajasthan,2001,Murder - Total Victims,3. Total,133,1275,18,18,47,497
Sikkim,2001,Murder - Total Victims,3. Total,2,19,NULL,1,NULL,8
Tamil Nadu,2001,Murder - Total Victims,3. Total,170,1662,16,8,249,565
Tripura,2001,Murder - Total Victims,3. Total,22,240,6,NULL,17,93
Uttar Pradesh,2001,Murder - Total Victims,3. Total,824,8180,158,39,292,3724
Uttarakhand,2001,Murder - Total Victims,3. Total,31,381,5,4,4,124
West Bengal,2001,Murder - Total Victims,3. Total,94,1673,2,1,3,889
Andaman & Nicobar Islands,2002,Murder - Total Victims,3. Total,2,17,0,0,1,6
Andhra Pradesh,2002,Murder - Total Victims,3. Total,275,2651,20,12,13,1320
Arunachal Pradesh,2002,Murder - Total Victims,3. Total,NULL,61,NULL,NULL,0,34
Assam,2002,Murder - Total Victims,3. Total,25,1253,0,2,0,827
Bihar,2002,Murder - Total Victims,3. Total,161,3831,3,7,5,2116
Chandigarh,2002,Murder - Total Victims,3. Total,3,31,0,3,0,12
Chhattisgarh,2002,Murder - Total Victims,3. Total,106,844,7,24,4,264
Dadra & Nagar Haveli,2002,Murder - Total Victims,3. Total,1,11,0,0,0,2
Daman & Diu,2002,Murder - Total Victims,3. Total,0,8,0,0,0,5
Delhi,2002,Murder - Total Victims,3. Total,40,541,11,14,10,312
Goa,2002,Murder - Total Victims,3. Total,10,31,NULL,1,1,10
Gujarat,2002,Murder - Total Victims,3. Total,256,2327,41,129,42,975
Haryana,2002,Murder - Total Victims,3. Total,38,811,11,6,5,433
Himachal Pradesh,2002,Murder - Total Victims,3. Total,14,132,1,5,4,55
Jammu & Kashmir,2002,Murder - Total Victims,3. Total,94,1307,0,0,2,564
Jharkhand,2002,Murder - Total Victims,3. Total,294,1488,2,3,3,635
Karnataka,2002,Murder - Total Victims,3. Total,156,1704,3,18,7,826
Kerala,2002,Murder - Total Victims,3. Total,77,454,9,64,7,118
Madhya Pradesh,2002,Murder - Total Victims,3. Total,215,2395,12,8,74,1149
Maharashtra,2002,Murder - Total Victims,3. Total,353,2991,54,156,45,1191
Manipur,2002,Murder - Total Victims,3. Total,6,222,0,0,0,130
Meghalaya,2002,Murder - Total Victims,3. Total,4,184,0,1,2,79
Mizoram,2002,Murder - Total Victims,3. Total,2,29,0,0,0,23
Nagaland,2002,Murder - Total Victims,3. Total,1,108,2,0,7,72
Odisha,2002,Murder - Total Victims,3. Total,73,1148,2,5,0,579
Puducherry,2002,Murder - Total Victims,3. Total,2,31,NULL,2,NULL,7
Punjab,2002,Murder - Total Victims,3. Total,49,772,5,4,4,319
Rajasthan,2002,Murder - Total Victims,3. Total,108,1324,2,15,3,563
Sikkim,2002,Murder - Total Victims,3. Total,NULL,13,NULL,NULL,2,4
Tamil Nadu,2002,Murder - Total Victims,3. Total,263,1787,12,29,4,771
Tripura,2002,Murder - Total Victims,3. Total,22,201,NULL,NULL,0,105
Uttar Pradesh,2002,Murder - Total Victims,3. Total,566,7538,191,36,311,3548
Uttarakhand,2002,Murder - Total Victims,3. Total,22,335,4,NULL,3,100
West Bengal,2002,Murder - Total Victims,3. Total,61,1453,0,3,0,852
Andaman & Nicobar Islands,2003,Murder - Total Victims,3. Total,2,21,0,1,0,8
Andhra Pradesh,2003,Murder - Total Victims,3. Total,281,2914,39,25,55,1370
Arunachal Pradesh,2003,Murder - Total Victims,3. Total,0,77,0,0,0,64
Assam,2003,Murder - Total Victims,3. Total,59,1191,0,2,0,639
Bihar,2003,Murder - Total Victims,3. Total,205,3772,2,5,5,1872
Chandigarh,2003,Murder - Total Victims,3. Total,1,21,2,1,0,8
Chhattisgarh,2003,Murder - Total Victims,3. Total,95,797,12,25,3,312
Dadra & Nagar Haveli,2003,Murder - Total Victims,3. Total,2,11,NULL,NULL,NULL,4
Daman & Diu,2003,Murder - Total Victims,3. Total,3,6,0,0,0,0
Delhi,2003,Murder - Total Victims,3. Total,48,502,16,19,19,254
Goa,2003,Murder - Total Victims,3. Total,6,34,NULL,NULL,NULL,11
Gujarat,2003,Murder - Total Victims,3. Total,115,1164,6,61,16,457
Haryana,2003,Murder - Total Victims,3. Total,39,748,2,3,19,401
Himachal Pradesh,2003,Murder - Total Victims,3. Total,9,130,2,5,2,43
Jammu & Kashmir,2003,Murder - Total Victims,3. Total,82,1115,0,0,0,432
Jharkhand,2003,Murder - Total Victims,3. Total,115,1482,3,7,2,683
Karnataka,2003,Murder - Total Victims,3. Total,150,1576,23,91,71,648
Kerala,2003,Murder - Total Victims,3. Total,78,435,4,22,5,120
Madhya Pradesh,2003,Murder - Total Victims,3. Total,154,2227,25,41,99,984
Maharashtra,2003,Murder - Total Victims,3. Total,374,2951,44,142,41,1250
Manipur,2003,Murder - Total Victims,3. Total,9,185,0,1,0,117
Meghalaya,2003,Murder - Total Victims,3. Total,4,175,0,1,13,64
Mizoram,2003,Murder - Total Victims,3. Total,1,46,NULL,1,4,16
Nagaland,2003,Murder - Total Victims,3. Total,0,91,0,0,0,70
Odisha,2003,Murder - Total Victims,3. Total,86,1102,4,8,13,541
Puducherry,2003,Murder - Total Victims,3. Total,5,30,1,1,NULL,11
Punjab,2003,Murder - Total Victims,3. Total,74,769,5,12,8,338
Rajasthan,2003,Murder - Total Victims,3. Total,136,1284,7,13,6,560
Sikkim,2003,Murder - Total Victims,3. Total,2,16,NULL,1,1,9
Tamil Nadu,2003,Murder - Total Victims,3. Total,280,1654,11,11,40,596
Tripura,2003,Murder - Total Victims,3. Total,30,254,NULL,NULL,0,135
Uttar Pradesh,2003,Murder - Total Victims,3. Total,487,5284,145,35,292,2438
Uttarakhand,2003,Murder - Total Victims,3. Total,18,293,0,0,3,115
West Bengal,2003,Murder - Total Victims,3. Total,62,1464,2,3,4,792
Andaman & Nicobar Islands,2004,Murder - Total Victims,3. Total,2,15,0,1,0,2
Andhra Pradesh,2004,Murder - Total Victims,3. Total,285,2640,25,35,29,1157
Arunachal Pradesh,2004,Murder - Total Victims,3. Total,3,67,0,0,0,36
Assam,2004,Murder - Total Victims,3. Total,72,1214,0,1,0,691
Bihar,2004,Murder - Total Victims,3. Total,188,3948,13,4,4,2175
Chandigarh,2004,Murder - Total Victims,3. Total,2,22,0,2,1,8
Chhattisgarh,2004,Murder - Total Victims,3. Total,123,927,11,20,30,331
Dadra & Nagar Haveli,2004,Murder - Total Victims,3. Total,1,11,0,2,1,3
Daman & Diu,2004,Murder - Total Victims,3. Total,NULL,3,NULL,NULL,NULL,2
Delhi,2004,Murder - Total Victims,3. Total,48,510,21,34,22,221
Goa,2004,Murder - Total Victims,3. Total,8,42,1,1,NULL,15
Gujarat,2004,Murder - Total Victims,3. Total,104,1169,7,84,12,472
Haryana,2004,Murder - Total Victims,3. Total,46,742,1,0,22,378
Himachal Pradesh,2004,Murder - Total Victims,3. Total,20,110,3,3,3,37
Jammu & Kashmir,2004,Murder - Total Victims,3. Total,82,989,NULL,1,NULL,496
Jharkhand,2004,Murder - Total Victims,3. Total,115,1488,3,7,2,686
Karnataka,2004,Murder - Total Victims,3. Total,163,1567,3,47,4,745
Kerala,2004,Murder - Total Victims,3. Total,91,427,8,40,5,94
Madhya Pradesh,2004,Murder - Total Victims,3. Total,275,2380,22,8,114,1088
Maharashtra,2004,Murder - Total Victims,3. Total,291,2777,28,125,52,1176
Manipur,2004,Murder - Total Victims,3. Total,10,193,0,0,0,125
Meghalaya,2004,Murder - Total Victims,3. Total,1,157,0,0,1,103
Mizoram,2004,Murder - Total Victims,3. Total,6,35,0,0,0,15
Nagaland,2004,Murder - Total Victims,3. Total,0,73,0,0,0,36
Odisha,2004,Murder - Total Victims,3. Total,63,1137,4,2,3,610
Puducherry,2004,Murder - Total Victims,3. Total,2,25,NULL,1,NULL,12
Punjab,2004,Murder - Total Victims,3. Total,77,802,8,23,11,334
Rajasthan,2004,Murder - Total Victims,3. Total,161,1292,6,8,7,568
Sikkim,2004,Murder - Total Victims,3. Total,3,18,0,3,0,4
Tamil Nadu,2004,Murder - Total Victims,3. Total,245,1544,13,66,4,612
Tripura,2004,Murder - Total Victims,3. Total,22,226,3,0,2,124
Uttar Pradesh,2004,Murder - Total Victims,3. Total,550,6665,218,116,347,2837
Uttarakhand,2004,Murder - Total Victims,3. Total,25,267,0,4,0,130
West Bengal,2004,Murder - Total Victims,3. Total,65,1433,1,1,0,736
Andaman & Nicobar Islands,2005,Murder - Total Victims,3. Total,1,15,NULL,1,NULL,5
Andhra Pradesh,2005,Murder - Total Victims,3. Total,313,2928,21,38,28,1277
Arunachal Pradesh,2005,Murder - Total Victims,3. Total,2,81,0,0,0,59
Assam,2005,Murder - Total Victims,3. Total,76,1194,4,0,9,714
Bihar,2005,Murder - Total Victims,3. Total,189,3471,10,14,13,2160
Chandigarh,2005,Murder - Total Victims,3. Total,1,18,0,3,0,7
Chhattisgarh,2005,Murder - Total Victims,3. Total,123,1050,14,11,12,405
Dadra & Nagar Haveli,2005,Murder - Total Victims,3. Total,2,7,NULL,1,1,2
Daman & Diu,2005,Murder - Total Victims,3. Total,NULL,5,1,NULL,NULL,4
Delhi,2005,Murder - Total Victims,3. Total,40,533,12,17,7,284
Goa,2005,Murder - Total Victims,3. Total,5,49,1,3,NULL,14
Gujarat,2005,Murder - Total Victims,3. Total,115,1103,17,70,12,418
Haryana,2005,Murder - Total Victims,3. Total,82,812,8,9,21,366
Himachal Pradesh,2005,Murder - Total Victims,3. Total,15,118,0,6,4,40
Jammu & Kashmir,2005,Murder - Total Victims,3. Total,45,746,0,4,0,425
Jharkhand,2005,Murder - Total Victims,3. Total,130,1523,29,5,113,452
Karnataka,2005,Murder - Total Victims,3. Total,182,1673,2,39,6,779
Kerala,2005,Murder - Total Victims,3. Total,92,431,11,54,4,87
Lakshadweep,2005,Murder - Total Victims,3. Total,NULL,1,NULL,NULL,NULL,1
Madhya Pradesh,2005,Murder - Total Victims,3. Total,285,2428,35,35,80,1019
Maharashtra,2005,Murder - Total Victims,3. Total,292,2745,43,154,45,1122
Manipur,2005,Murder - Total Victims,3. Total,6,295,1,1,1,186
Meghalaya,2005,Murder - Total Victims,3. Total,6,138,1,3,7,57
Mizoram,2005,Murder - Total Victims,3. Total,6,35,0,0,0,15
Nagaland,2005,Murder - Total Victims,3. Total,5,91,0,0,0,48
Odisha,2005,Murder - Total Victims,3. Total,87,1133,3,3,4,535
Puducherry,2005,Murder - Total Victims,3. Total,3,19,NULL,NULL,NULL,8
Punjab,2005,Murder - Total Victims,3. Total,68,744,9,11,6,331
Rajasthan,2005,Murder - Total Victims,3. Total,124,1246,11,21,25,523
Sikkim,2005,Murder - Total Victims,3. Total,1,9,1,NULL,0,3
Tamil Nadu,2005,Murder - Total Victims,3. Total,248,1511,10,54,3,552
Tripura,2005,Murder - Total Victims,3. Total,14,158,NULL,1,0,91
Uttar Pradesh,2005,Murder - Total Victims,3. Total,554,6365,124,44,222,3120
Uttarakhand,2005,Murder - Total Victims,3. Total,29,290,2,4,0,127
West Bengal,2005,Murder - Total Victims,3. Total,74,1454,2,0,0,942
Andaman & Nicobar Islands,2006,Murder - Total Victims,3. Total,2,5,NULL,NULL,NULL,1
Andhra Pradesh,2006,Murder - Total Victims,3. Total,392,2940,20,28,15,1367
Arunachal Pradesh,2006,Murder - Total Victims,3. Total,0,60,0,0,0,40
Assam,2006,Murder - Total Victims,3. Total,83,1207,4,0,7,691
Bihar,2006,Murder - Total Victims,3. Total,111,3249,2,3,7,1933
Chandigarh,2006,Murder - Total Victims,3. Total,5,14,0,1,0,2
Chhattisgarh,2006,Murder - Total Victims,3. Total,141,1098,12,12,24,427
Dadra & Nagar Haveli,2006,Murder - Total Victims,3. Total,1,9,0,1,0,3
Daman & Diu,2006,Murder - Total Victims,3. Total,0,7,0,2,0,3
Delhi,2006,Murder - Total Victims,3. Total,28,488,12,30,24,283
Goa,2006,Murder - Total Victims,3. Total,11,40,NULL,NULL,2,12
Gujarat,2006,Murder - Total Victims,3. Total,96,1214,17,80,13,497
Haryana,2006,Murder - Total Victims,3. Total,56,899,9,0,21,404
Himachal Pradesh,2006,Murder - Total Victims,3. Total,12,129,1,4,0,48
Jammu & Kashmir,2006,Murder - Total Victims,3. Total,17,641,1,2,7,324
Jharkhand,2006,Murder - Total Victims,3. Total,258,1492,18,12,109,557
Karnataka,2006,Murder - Total Victims,3. Total,164,1677,13,58,8,757
Kerala,2006,Murder - Total Victims,3. Total,78,426,4,65,3,102
Madhya Pradesh,2006,Murder - Total Victims,3. Total,362,2330,36,48,76,900
Maharashtra,2006,Murder - Total Victims,3. Total,367,2961,38,159,54,1208
Manipur,2006,Murder - Total Victims,3. Total,17,238,2,0,5,127
Meghalaya,2006,Murder - Total Victims,3. Total,3,157,0,2,5,82
Mizoram,2006,Murder - Total Victims,3. Total,0,25,0,0,0,20
Nagaland,2006,Murder - Total Victims,3. Total,2,123,1,4,4,77
Odisha,2006,Murder - Total Victims,3. Total,54,1167,4,3,11,560
Puducherry,2006,Murder - Total Victims,3. Total,3,30,NULL,NULL,1,12
Punjab,2006,Murder - Total Victims,3. Total,111,851,6,10,10,386
Rajasthan,2006,Murder - Total Victims,3. Total,145,1238,22,30,25,505
Sikkim,2006,Murder - Total Victims,3. Total,4,21,NULL,NULL,4,5
Tamil Nadu,2006,Murder - Total Victims,3. Total,236,1418,16,48,6,492
Tripura,2006,Murder - Total Victims,3. Total,18,165,2,1,NULL,71
Uttar Pradesh,2006,Murder - Total Victims,3. Total,510,5762,161,34,231,2813
Uttarakhand,2006,Murder - Total Victims,3. Total,12,285,2,2,6,96
West Bengal,2006,Murder - Total Victims,3. Total,69,1442,0,1,2,881
Andaman & Nicobar Islands,2007,Murder - Total Victims,3. Total,3,15,NULL,NULL,NULL,6
Andhra Pradesh,2007,Murder - Total Victims,3. Total,273,2850,24,45,39,1289
Arunachal Pradesh,2007,Murder - Total Victims,3. Total,1,68,0,0,0,44
Assam,2007,Murder - Total Victims,3. Total,97,1374,1,0,1,817
Bihar,2007,Murder - Total Victims,3. Total,166,3081,23,16,56,1688
Chandigarh,2007,Murder - Total Victims,3. Total,1,20,0,2,0,10
Chhattisgarh,2007,Murder - Total Victims,3. Total,227,1097,15,13,17,381
Dadra & Nagar Haveli,2007,Murder - Total Victims,3. Total,0,10,NULL,1,NULL,3
Daman & Diu,2007,Murder - Total Victims,3. Total,4,12,1,1,0,4
Delhi,2007,Murder - Total Victims,3. Total,41,511,8,24,25,276
Goa,2007,Murder - Total Victims,3. Total,8,34,NULL,2,NULL,9
Gujarat,2007,Murder - Total Victims,3. Total,127,1214,15,71,18,406
Haryana,2007,Murder - Total Victims,3. Total,60,942,28,33,38,416
Himachal Pradesh,2007,Murder - Total Victims,3. Total,16,132,3,5,2,46
Jammu & Kashmir,2007,Murder - Total Victims,3. Total,18,366,0,0,0,196
Jharkhand,2007,Murder - Total Victims,3. Total,129,1617,13,2,10,637
Karnataka,2007,Murder - Total Victims,3. Total,174,1586,9,32,12,670
Kerala,2007,Murder - Total Victims,3. Total,85,393,9,39,5,88
Madhya Pradesh,2007,Murder - Total Victims,3. Total,281,2315,34,81,45,950
Maharashtra,2007,Murder - Total Victims,3. Total,348,2793,39,165,46,1175
Manipur,2007,Murder - Total Victims,3. Total,10,295,1,1,6,148
Meghalaya,2007,Murder - Total Victims,3. Total,9,114,3,2,7,39
Mizoram,2007,Murder - Total Victims,3. Total,2,43,1,0,2,26
Nagaland,2007,Murder - Total Victims,3. Total,3,118,0,1,2,51
Odisha,2007,Murder - Total Victims,3. Total,44,1235,12,6,15,637
Puducherry,2007,Murder - Total Victims,3. Total,3,35,NULL,2,1,21
Punjab,2007,Murder - Total Victims,3. Total,85,826,13,10,10,386
Rajasthan,2007,Murder - Total Victims,3. Total,128,1359,29,28,32,536
Sikkim,2007,Murder - Total Victims,3. Total,1,9,1,NULL,NULL,5
Tamil Nadu,2007,Murder - Total Victims,3. Total,314,1711,14,49,5,607
Tripura,2007,Murder - Total Victims,3. Total,25,150,4,3,4,52
Uttar Pradesh,2007,Murder - Total Victims,3. Total,446,5182,160,61,176,2432
Uttarakhand,2007,Murder - Total Victims,3. Total,25,268,4,5,5,164
West Bengal,2007,Murder - Total Victims,3. Total,78,1653,2,8,5,968
Andaman & Nicobar Islands,2008,Murder - Total Victims,3. Total,2,8,2,NULL,NULL,2
Andhra Pradesh,2008,Murder - Total Victims,3. Total,303,2762,21,36,64,1266
Arunachal Pradesh,2008,Murder - Total Victims,3. Total,2,72,0,0,0,40
Assam,2008,Murder - Total Victims,3. Total,55,1426,1,0,0,851
Bihar,2008,Murder - Total Victims,3. Total,114,3139,19,37,60,1837
Chandigarh,2008,Murder - Total Victims,3. Total,2,17,0,0,0,10
Chhattisgarh,2008,Murder - Total Victims,3. Total,152,1169,19,23,56,411
Dadra & Nagar Haveli,2008,Murder - Total Victims,3. Total,3,9,1,NULL,NULL,NULL
Daman & Diu,2008,Murder - Total Victims,3. Total,0,2,0,0,NULL,0
Delhi,2008,Murder - Total Victims,3. Total,43,589,9,25,17,202
Goa,2008,Murder - Total Victims,3. Total,11,53,1,2,0,18
Gujarat,2008,Murder - Total Victims,3. Total,107,1145,9,47,10,449
Haryana,2008,Murder - Total Victims,3. Total,112,970,11,7,13,404
Himachal Pradesh,2008,Murder - Total Victims,3. Total,14,130,3,4,7,37
Jammu & Kashmir,2008,Murder - Total Victims,3. Total,18,266,0,0,0,107
Jharkhand,2008,Murder - Total Victims,3. Total,98,1697,0,4,7,841
Karnataka,2008,Murder - Total Victims,3. Total,172,1800,28,107,32,700
Kerala,2008,Murder - Total Victims,3. Total,77,379,10,39,NULL,86
Lakshadweep,2008,Murder - Total Victims,3. Total,NULL,1,NULL,NULL,NULL,NULL
Madhya Pradesh,2008,Murder - Total Victims,3. Total,312,2351,68,22,17,930
Maharashtra,2008,Murder - Total Victims,3. Total,335,2976,43,116,41,1241
Manipur,2008,Murder - Total Victims,3. Total,12,268,4,5,3,141
Meghalaya,2008,Murder - Total Victims,3. Total,9,126,0,0,0,65
Mizoram,2008,Murder - Total Victims,3. Total,0,35,0,0,0,24
Nagaland,2008,Murder - Total Victims,3. Total,3,147,0,0,0,86
Odisha,2008,Murder - Total Victims,3. Total,98,1250,4,6,3,533
Puducherry,2008,Murder - Total Victims,3. Total,5,35,NULL,1,NULL,17
Punjab,2008,Murder - Total Victims,3. Total,83,815,9,10,13,386
Rajasthan,2008,Murder - Total Victims,3. Total,131,1320,24,21,48,527
Sikkim,2008,Murder - Total Victims,3. Total,NULL,9,NULL,NULL,2,4
Tamil Nadu,2008,Murder - Total Victims,3. Total,327,1824,8,88,4,597
Tripura,2008,Murder - Total Victims,3. Total,17,166,9,7,4,57
Uttar Pradesh,2008,Murder - Total Victims,3. Total,396,4699,124,60,192,2287
Uttarakhand,2008,Murder - Total Victims,3. Total,28,261,NULL,1,2,168
West Bengal,2008,Murder - Total Victims,3. Total,165,1811,5,2,14,910
Andaman & Nicobar Islands,2009,Murder - Total Victims,3. Total,NULL,18,NULL,3,NULL,6
Andhra Pradesh,2009,Murder - Total Victims,3. Total,275,2475,18,30,29,1047
Arunachal Pradesh,2009,Murder - Total Victims,3. Total,0,59,0,0,0,31
Assam,2009,Murder - Total Victims,3. Total,40,1323,0,0,4,846
Bihar,2009,Murder - Total Victims,3. Total,143,3179,26,22,78,1858
Chandigarh,2009,Murder - Total Victims,3. Total,1,22,0,1,0,12
Chhattisgarh,2009,Murder - Total Victims,3. Total,161,1083,11,39,34,355
Dadra & Nagar Haveli,2009,Murder - Total Victims,3. Total,1,10,NULL,1,NULL,4
Daman & Diu,2009,Murder - Total Victims,3. Total,NULL,5,NULL,NULL,NULL,2
Delhi,2009,Murder - Total Victims,3. Total,41,571,21,30,30,291
Goa,2009,Murder - Total Victims,3. Total,6,57,0,3,1,22
Gujarat,2009,Murder - Total Victims,3. Total,90,1059,15,58,6,386
Haryana,2009,Murder - Total Victims,3. Total,98,1007,6,2,11,427
Himachal Pradesh,2009,Murder - Total Victims,3. Total,23,133,2,4,3,41
Jammu & Kashmir,2009,Murder - Total Victims,3. Total,14,262,0,1,3,124
Jharkhand,2009,Murder - Total Victims,3. Total,89,1636,2,4,5,728
Karnataka,2009,Murder - Total Victims,3. Total,187,1752,23,28,12,698
Kerala,2009,Murder - Total Victims,3. Total,76,369,11,42,6,80
Madhya Pradesh,2009,Murder - Total Victims,3. Total,334,2402,31,60,36,949
